Date,AAPL,MSFT,GOOG,AMZN,TSLA,NVDA
2023-01-03,123.33061981201172,234.423583984375,89.09032440185547,85.81999969482422,108.0999984741211,14.30147933959961
2023-01-04,124.60271453857422,224.1691131591797,88.10706329345703,85.13999938964844,113.63999938964844,14.735071182250977
2023-01-05,123.28134155273438,217.52529907226562,86.18024444580078,83.12000274658203,110.33999633789062,14.251526832580566
2023-01-06,127.81737518310547,220.08888244628906,87.560791015625,86.08000183105469,113.05999755859375,14.844966888427734
2023-01-09,128.3400115966797,222.2317352294922,88.19644927978516,87.36000061035156,119.7699966430664,15.613239288330078
2023-01-10,128.91192626953125,223.92453002929688,88.63345336914062,89.87000274658203,118.8499984741211,15.893975257873535
2023-01-11,131.633544921875,230.69558715820312,91.6329345703125,95.08999633789062,123.22000122070312,15.98588752746582
2023-01-12,131.5546875,233.37661743164062,91.28530883789062,95.2699966430664,123.55999755859375,16.495405197143555
2023-01-13,132.8858642578125,234.08111572265625,92.16926574707031,98.12000274658203,122.4000015258789,16.883041381835938
2023-01-17,134.0494842529297,235.17701721191406,91.53361511230469,96.05000305175781,131.49000549316406,17.685277938842773
2023-01-18,133.3296356201172,230.73471069335938,91.15619659423828,95.45999908447266,128.77999877929688,17.360591888427734
2023-01-19,133.3887939453125,226.93821716308594,93.271728515625,93.68000030517578,127.16999816894531,16.749168395996094
2023-01-20,135.95262145996094,235.04978942871094,98.60521697998047,97.25,133.4199981689453,17.822154998779297
2023-01-23,139.14759826660156,237.35902404785156,100.5220947265625,97.5199966430664,143.75,19.17487144470215
2023-01-24,140.54782104492188,236.83065795898438,98.53569030761719,96.31999969482422,143.88999938964844,19.246803283691406
2023-01-25,139.88714599609375,235.43138122558594,96.07256317138672,97.18000030517578,144.42999267578125,19.30474853515625
2023-01-26,141.9579315185547,242.66233825683594,98.48603057861328,99.22000122070312,160.27000427246094,19.783296585083008
2023-01-27,143.90054321289062,242.81890869140625,100.02549743652344,102.23999786376953,177.89999389648438,20.345766067504883
2023-01-30,141.0112762451172,237.4862060546875,97.28425598144531,100.55000305175781,166.66000366210938,19.143901824951172
2023-01-31,142.2833251953125,242.47645568847656,99.19121551513672,103.12999725341797,173.22000122070312,19.518550872802734
2023-02-01,143.40748596191406,247.31011962890625,100.7406005859375,105.1500015258789,181.41000366210938,20.9232234954834
2023-02-02,148.72251892089844,258.90509033203125,108.0605239868164,112.91000366210938,188.27000427246094,21.688495635986328
2023-02-03,152.3513641357422,252.7895965576172,104.50485229492188,103.38999938964844,189.97999572753906,21.0800724029541
2023-02-06,149.619873046875,251.24359130859375,102.76673889160156,102.18000030517578,194.75999450683594,21.0690860748291
2023-02-07,152.49928283691406,261.8013916015625,107.3056869506836,102.11000061035156,196.80999755859375,22.152057647705078
2023-02-08,149.8072509765625,260.9892578125,99.32032012939453,100.05000305175781,201.2899932861328,22.184024810791016
2023-02-09,148.7718505859375,257.94610595703125,94.8111801147461,98.23999786376953,207.32000732421875,22.315902709960938
2023-02-10,149.1372528076172,257.4373779296875,94.21525573730469,97.61000061035156,196.88999938964844,21.244915008544922
