Date,AAPL,MSFT,GOOG,AMZN,TSLA,NVDA
2023-05-31,99625300,45950600,41548800,72800800,150711700,1002580000
2023-06-01,68901800,26773900,25017700,54375100,148029900,635873000
2023-06-02,61996900,25873800,19367500,61264400,164398400,482731000
2023-06-05,121946500,21307100,22672500,47950100,151143100,396094000
2023-06-06,64848400,20396200,19450100,45695200,146911600,388729000
2023-06-07,61944600,40717100,34179300,95663300,185710800,511998000
2023-06-08,50214900,23277700,24815000,62159300,164489700,417772000
2023-06-09,48900000,22529000,20304500,51396000,200242400,427717000
2023-06-12,54274900,24260300,22255700,51338000,150337900,388701000
2023-06-13,54929100,22951300,19287700,50564800,162384300,613208000
2023-06-14,57462900,26003800,24659600,52422500,170575500,740465000
2023-06-15,65433200,38899100,24517100,60458500,160171200,568622000
2023-06-16,101256200,46552000,56699200,84247100,167915600,655709000
2023-06-20,49799100,26375400,22698000,56930100,165611200,451153000
2023-06-21,49515700,25117800,22612000,52137700,211797100,551603000
2023-06-22,51245300,23556800,20781900,90354600,166875900,417737000
2023-06-23,53117000,23146900,29573100,71927800,177460800,358140000
2023-06-26,48088700,21520600,23185000,59989300,179990600,594322000
2023-06-27,50730800,24354100,27221700,46801000,164968200,462175000
2023-06-28,51216800,20259500,19753100,52149500,159770800,582639000
2023-06-29,46347300,16997000,18517500,40761000,131283400,380514000
2023-06-30,85213200,26832800,23871800,54350700,112620800,501148000
2023-07-03,31458200,12508700,13888300,28264800,119685900,198209000
2023-07-05,46920300,18172400,17830300,35895400,131530900,323618000
2023-07-06,45094300,28161200,17732500,40639900,120332100,303582000
2023-07-07,46815000,21214800,20997700,41992300,113879200,355881000
2023-07-10,59922200,32791400,32960100,61889300,119425400,353908000
2023-07-11,46638100,26698200,18286600,49951500,91972400,298244000
2023-07-12,60750200,29995300,22059600,54022800,95672100,481277000
2023-07-13,41342300,20567200,31535900,61170900,112681500,478204000
2023-07-14,41616200,28352700,20499800,54487100,120062400,772075000
2023-07-17,50520200,20363900,20675300,48450200,131569600,510488000
2023-07-18,48288200,64738600,21045800,54882900,112120300,569164000
2023-07-19,80507300,39732900,22313800,54531000,142355400,427502000
2023-07-20,59581200,33778400,27541700,59820600,175158300,537865000
2023-07-21,71951700,69405400,56514600,133307300,161796100,963769000
2023-07-24,45377800,26678100,22276100,45591100,136508500,382516000
2023-07-25,37283200,41637700,31820800,39236700,112757300,348081000
2023-07-26,47471900,58383700,46216900,53910100,95856200,364237000
2023-07-27,47460200,39635300,35931600,52610700,103697300,455976000
2023-07-28,48291400,28484900,26971000,46317400,111446000,331194000
2023-07-31,38824100,25446000,18381900,41901500,84582200,251055000
2023-08-01,35175100,18311900,22154300,42098500,83166000,237858000
2023-08-02,50389300,27761300,22705800,51027600,101752900,530142000
2023-08-03,61235200,18253700,15018100,88585200,97569100,324176000
2023-08-04,115956800,23741500,20521900,153128500,99539900,362666000
2023-08-07,97576100,17741500,17621000,71213100,111097900,322154000
2023-08-08,67823000,22327600,16836000,51710500,96642200,353843000
2023-08-09,60378500,22373300,17745200,50017300,101596300,586449000
2023-08-10,54686900,20113700,17855700,58928400,109498600,492705000
2023-08-11,52036700,24355500,15205500,42905800,99038600,533085000
2023-08-14,43675600,18836100,17526200,47148700,98595300,690286000
2023-08-15,43622600,16966300,14769200,42781500,88197600,676512000
2023-08-16,46964900,20698900,17548400,41675900,112484500,527451000
2023-08-17,66062900,21257200,23665600,48354100,120718400,452395000
2023-08-18,61172200,24755000,23627200,48497700,136276600,583768000
2023-08-21,46311900,24040000,21851100,41442500,135702700,692573000
2023-08-22,42038900,16084600,15557900,32905400,130442800,755293000
2023-08-23,52722800,21166400,26497000,42801000,101077600,779046000
2023-08-24,54945800,23281400,18680400,43646300,99777400,1156044000
2023-08-25,51449600,21684100,20678100,44147500,106612200,925341000
2023-08-28,43820700,14808500,16715500,34108400,107673700,685192000
2023-08-29,53003900,19284600,30803300,38646100,134047600,701397000
2023-08-30,60813900,15222100,21773400,36137000,121988400,735206000
2023-08-31,60794500,26411000,28147900,58781300,108861700,528570000
2023-09-01,45766500,14942000,16671600,40991500,132541600,463830000
2023-09-05,45280000,18553900,17730200,40636700,129469600,382653000
2023-09-06,81755800,17535800,15814300,41785500,116959800,468670000
2023-09-07,112488800,18381000,16976000,48498900,115312900,433330000
2023-09-08,65551300,19530100,17810700,38348200,118367700,473069000
2023-09-11,58953100,16583300,17180800,56764500,174667900,473966000
2023-09-12,90370200,17565500,15212900,42668500,135999900,349256000
2023-09-13,84267900,16544400,16394900,60465200,111673700,398355000
2023-09-14,60895800,20267000,19064600,64033600,107709800,370097000
2023-09-15,109259500,37679800,48958800,102909300,133692300,506831000
2023-09-18,67257600,16834200,16233600,42823500,101543300,500271000
2023-09-19,51826900,16505900,15479100,61482500,103704000,373064000
2023-09-20,58436200,21436500,21473500,46263700,122514600,367108000
2023-09-21,63149100,35560400,22058400,70343300,119951500,450736000
2023-09-22,56725400,21447900,17348700,59904300,127524100,479236000
2023-09-25,46172700,17836000,14650000,46017800,104636600,419091000
2023-09-26,64588900,26297600,20378800,73048200,101993600,402282000
2023-09-27,66921800,19410100,18764200,66553400,136597200,444935000
2023-09-28,56294400,19683600,18201400,54555000,117058900,424663000
2023-09-29,51861100,24147300,23237300,62411700,128522700,397830000
2023-10-02,52164500,20570000,19210400,48029700,123810400,433298000
2023-10-03,49594600,21033500,19628700,51565000,101985300,470850000
2023-10-04,53020300,20720100,22848000,44203900,129721600,361821000
2023-10-05,48527900,16965600,15922900,39660600,119159200,393483000
2023-10-06,57266700,25673600,20826700,46836700,118121800,434436000
2023-10-09,42390800,19891200,16599100,38773700,101377900,409675000
2023-10-10,43698000,20557100,19554900,42178600,122656000,368582000
2023-10-11,47551100,20063200,20146300,40741800,103706300,378137000
2023-10-12,56743100,19313100,18173100,55528600,111508100,481325000
2023-10-13,51427100,21072400,19438700,45786600,102073800,474115000
2023-10-16,52517000,22158000,17345600,42832900,88917200,375099000
2023-10-17,57549400,18338500,17424000,49344600,93562900,812333000
2023-10-18,54764400,23153600,18304900,42699500,125147800,627294000
2023-10-19,59302900,25052100,21831200,60961400,170772700,501233000
2023-10-20,64244000,25027700,24970300,56406400,138010100,477266000
2023-10-23,55980100,24374700,20780700,48260000,150683400,478530000
2023-10-24,43816600,31153600,26535200,46477400,118231100,401463000
2023-10-25,57157000,55053800,58796100,74577500,107065100,398379000
2023-10-26,70625300,37828500,33907400,100419500,115112600,541001000
2023-10-27,58499100,29856500,37367700,125309300,94881200,416784000
2023-10-30,51131000,22828100,24165600,72485500,136448200,388028000
2023-10-31,44846000,20265300,21123400,51589400,118068300,517969000
2023-11-01,56934900,28158800,26536600,61529400,121661700,437593000
2023-11-02,77334800,24348100,24091700,52236700,125987600,409172000
2023-11-03,79829200,23637700,19529400,44059800,119534800,424610000
2023-11-06,63841300,23828300,15360400,44970400,117335800,400733000
2023-11-07,70530000,25833900,19223800,53553500,116900100,343165000
2023-11-08,49340300,26767800,15093600,44521700,106584800,346719000
2023-11-09,53763500,24847300,17976500,36235400,142110500,540496000
2023-11-10,66133400,28042100,20872900,49287800,130994000,421245000
2023-11-13,43627500,19986500,16409900,35680600,140447600,384136000
2023-11-14,60108400,27683900,22317300,56674600,149771600,416954000
2023-11-15,53790500,26860100,15840900,63875700,150354000,475497000
2023-11-16,54412900,27182300,17615100,49653500,136816800,339756000
2023-11-17,50922700,40157000,25565300,49636700,142532800,325205000
2023-11-20,46505100,52465100,19569400,41951200,116320100,414120000
2023-11-21,38134500,28423100,17648100,71226000,122288000,565747000
2023-11-22,39617700,23345300,17306400,45669100,117950600,899420000
2023-11-24,24048300,10176600,8828600,22378400,65125200,294645000
2023-11-27,40552600,22179200,17886400,53762400,112031800,395662000
2023-11-28,38415400,20453100,17046900,42711700,148549900,401491000
2023-11-29,43014200,28963400,21014700,40610900,135401300,382005000
2023-11-30,48794400,30554400,29913500,65814000,132353200,526247000
2023-12-01,45704800,33040500,24268000,39951800,121331700,369317000
2023-12-04,43389500,32063300,24117100,48294200,104099800,437543000
